Item Name,SKU,Brand,Spec,Cat_ID,Photo_1,Photo_2,Photo_3,Photo_4,Photo_5,Activate
"ก้ามปูเหลือง18(1/2"")ช้าง           ", กป-50018-2,SCG,,1611,,,,,,
"เกลียวปล่อย หัวP 7x1""*แบ่งบรรจุ    ", กป-70001-1P,,,,,,,,,
"สกรูปลายสว่านรุ้ง 8x1""F            ", กป-80081-00,,,,,,,,,
"สกรูปลายสว่านรุ้ง 8x1-1/2""F        ", กป-80081-12,,,,,,,,,
"สกรูปลายสว่านรุ้ง 8x1""F(ห่อ)       ", กป-80081-1,,,,,,,,,
"กล่องพักสาย เหลือง[2x4""]ช้าง       ", กล-50001-,SCG,,1611,,,,,,
"เข้ากล่องเหลือง18มม.(1/2"")ช้าง     ", ขก-50018-,SCG,,1611,,,,,,
"ข้อต่อตรงเหลือง18มม.(1/2"")ช้าง     ", ขต-50018-,SCG,,1611,,,,,,
ขั้ว กบ.เปลือย E27 ทรงเยอรมัน      , ขว-00027-,No Brand,,1019,,,,,,
ขั้วห้อยยาง E27 สีขาว, ขว-00027-3,Sentoshi,,1019,,,,,,
สายแบนไฟระย้า+ขั้วยางE27แบน        , ขว-00027-4,No Brand,,1019,,,,,,
สายกลม ไฟระย้า+ขั้วยางE27          , ขว-00027-5,,,,,,,,,
ขั้วห้อย เชือก 1.5M. C-DT01-ARB    , ขว-30001-ARB,No Brand,,1019,,,,,,
ขั้วห้อยสายดำ E27 DS52 BLite       , ขว-40052-BK64,Blite,,1019,,,,,,
ขั้วห้อยสายน้ำเงิน E27 DS52 BLite  , ขว-40052-BL465,,,,,,,,,
ขั้วห้อยสายเขียว E27 DS52 BLite    , ขว-40052-GR66,,,,,,,,,
ขั้วห้อยสายแดง E27 DS52 BLite      , ขว-40052-RE7,,,,,,,,,
ขั้วห้อยสายฟ้า E27 DS52 BLite      , ขว-40052-SB68,,,,,,,,,
ขั้วห้อยสายขาว E27 DS52 BLite      , ขว-40052-WH69,,,,,,,,,
ขั้วห้อยสายเหลือง E27 DS52 BLite   , ขว-40052-YE470,,,,,,,,,
ขั้วห้อยสายส้ม E27 DS52 BLite      , ขว-42052-OR471,,,,,,,,,
ขั้วห้อย สีทอง วินเทจ E27          , ขว-60000- 600,,,,,,,,,
ขั้วห้อย สีดำเงา E27               , ขว-60000-PB603,,,,,,,,,
